City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,jamestown,42.097,-79.2353,28.64,54,85,2.68,US,1690389119
83,anadyr,64.75,177.4833,10.28,93,75,3.0,RU,1690389125
84,ancud,-41.8697,-73.8203,8.76,81,100,2.5,CL,1690389125
85,flying fish cove,-10.4217,105.6791,24.82,88,100,3.09,CX,1690389125
86,taoudenni,22.6783,-3.9836,47.19,6,0,4.08,ML,1690389126
87,hino,35.6731,139.4003,29.56,75,36,4.47,JP,1690389126
88,ostersund,63.1792,14.6357,15.9,33,40,2.57,SE,1690389126
89,papao,-17.75,-149.55,24.82,91,80,4.57,PF,1690388868
90,lihue,21.9789,-159.3672,24.77,87,100,6.69,US,1690388911
91,mariental,-24.6333,17.9667,20.02,15,0,5.91,NA,1690389126
92,sabha,27.0377,14.4283,40.21,5,0,4.82,LY,1690389126
93,helong,42.5397,128.9972,20.35,90,99,2.19,CN,1690389127
94,udachny,66.4167,112.4,16.92,77,95,2.34,RU,1690389127
95,wad medani,14.4012,33.5199,32.38,43,63,5.05,SD,1690389127
96,yamada,39.4667,141.95,23.07,88,3,2.45,JP,1690389127
97,serdar,38.9764,56.2757,31.04,48,96,5.5,TM,1690389127
98,howrah,22.5892,88.3103,27.0,94,40,1.54,IN,1690389128
99,tomatlan,19.9333,-105.25,31.48,55,82,0.53,MX,1690388910
100,urengoy,65.9667,78.3667,20.72,67,77,2.94,RU,1690389128
101,whitehorse,60.7161,-135.0538,14.89,94,75,1.54,CA,1690388881
102,fortuna,40.5982,-124.1573,17.18,88,40,2.57,US,1690388640
103,arar,30.9753,41.0381,41.01,6,0,4.12,SA,1690389128
104,tangalle,6.024,80.7911,25.41,88,85,3.8,LK,1690389128
105,mossel bay,-34.1831,22.146,11.96,75,96,2.98,ZA,1690388935
106,ozalp,38.6548,43.993,19.37,60,70,2.05,TR,1690389128
107,umm kaddadah,13.6017,26.6876,33.83,36,100,10.17,SD,1690388888
108,albany,42.6001,-73.9662,28.98,72,8,0.45,US,1690389085
109,zhangye,38.9342,100.4517,25.76,32,100,2.29,CN,1690389129
110,kayangel,8.0823,134.7173,27.91,75,100,9.45,PW,1690388965
111,tiksi,71.6872,128.8694,3.22,91,46,1.64,RU,1690389112
112,uturoa,-16.7333,-151.4333,25.59,85,38,5.1,PF,1690389129
113,olonkinbyen,70.9221,-8.7187,4.9,93,100,5.23,SJ,1690389059
114,papatowai,-46.5619,169.4708,4.9,94,100,11.81,NZ,1690389129
115,cole harbour,44.6724,-63.4751,27.88,54,40,5.66,CA,1690389130
116,baiona,43.4833,-1.4833,24.39,78,40,4.63,FR,1690389130
117,pyapon,16.2833,95.6833,26.15,92,30,2.12,MM,1690389130
118,tura,25.5198,90.2201,24.36,94,100,2.48,IN,1690389130
119,pascagoula,30.3658,-88.5561,33.4,54,0,1.54,US,1690389130
120,mahajanga,-15.7167,46.3167,29.01,42,75,4.63,MG,1690389130
121,sao geraldo do araguaia,-6.4006,-48.555,37.26,21,3,2.41,BR,1690389131
122,iqaluit,63.7506,-68.5145,7.85,81,75,1.54,CA,1690388913
123,muang xay,20.7,101.9833,25.29,74,96,1.26,LA,1690389131
124,tobruk,32.0836,23.9764,29.62,70,0,6.49,LY,1690388895
125,mutuali,-14.8706,37.0044,18.67,55,0,2.39,MZ,1690389131
126,afaahiti,-17.75,-149.2833,23.93,89,75,4.58,PF,1690389131
127,dakoro,14.5106,6.765,36.91,32,87,2.8,NE,1690388916
128,seesen,51.9,10.1833,20.08,52,73,0.45,DE,1690389131
129,aasiaat,68.7098,-52.8699,3.69,85,44,3.88,GL,1690389132
130,baikonur,45.6167,63.3167,31.14,33,97,9.6,KZ,1690389132
131,ugoofaaru,5.6667,73.0,28.28,75,87,1.45,MV,1690389132
132,cacoal,-11.4386,-61.4472,36.11,22,1,2.2,BR,1690389132
133,codrington,-38.2667,141.9667,7.67,82,77,5.39,AU,1690389132
134,susuman,62.7833,148.1667,11.07,86,100,1.95,RU,1690389132
135,victoria point,-27.5833,153.3,16.06,78,1,3.59,AU,1690389132
136,vorgashor,67.5833,63.95,16.42,80,99,3.84,RU,1690388910
137,invercargill,-46.4,168.35,5.6,90,95,12.79,NZ,1690389133
138,lepsy,46.235,78.9456,29.23,21,0,2.16,KZ,1690389133
139,mohr,54.3528,9.7167,18.43,70,75,7.2,DE,1690389133
140,yemetsk,63.4721,41.7941,16.47,73,96,1.18,RU,1690389133
141,nouadhibou,20.931,-17.0347,24.99,69,10,10.29,MR,1690389134
142,zouerate,22.7187,-12.4521,43.01,7,5,8.48,MR,1690389134
143,tolanaro,-25.0319,46.9987,20.04,64,40,4.12,MG,1690389057
144,quellon,-43.1167,-73.6167,9.14,71,75,2.57,CL,1690388852
145,college,64.8569,-147.8028,20.32,81,75,2.57,US,1690389134
146,mount pleasant,32.7941,-79.8626,33.99,67,20,2.06,US,1690389020
147,longyearbyen,78.2186,15.6401,12.91,58,20,6.17,SJ,1690389058
148,kollam,8.8833,76.6,25.18,86,100,3.46,IN,1690389134
149,selfoss,63.9331,-20.9971,17.25,65,94,3.32,IS,1690389135
150,banda aceh,5.5577,95.3222,26.77,84,100,5.9,ID,1690389135
151,mount pearl,47.5166,-52.7813,29.14,49,75,6.17,CA,1690389135
152,keflavik,64.0049,-22.5624,15.95,72,100,1.03,IS,1690388905
153,nema,57.5067,50.5011,18.81,83,68,2.1,RU,1690389135
154,tejen,37.3834,60.5054,36.54,27,2,11.86,TM,1690389135
155,oliver,49.1831,-119.5524,19.14,42,0,1.03,CA,1690389135
156,arhavi,41.3492,41.3069,25.95,80,0,0.64,TR,1690389136
157,laojunmiao,39.8333,97.7333,24.96,26,95,3.41,CN,1690388896
158,wynyard,-41.0,145.7167,6.66,82,100,1.63,AU,1690389136
159,nizhnesortymskiy,62.4397,71.7603,18.75,80,100,1.0,RU,1690389136
160,zag,46.9441,99.165,12.17,60,35,2.37,MN,1690389136
161,changchun,43.88,125.3228,23.98,86,28,3.57,CN,1690389137
162,ribeira grande,38.5167,-28.7,25.22,73,40,5.66,PT,1690389137
163,fort mcmurray,56.7268,-111.381,16.77,63,0,3.6,CA,1690388915
164,karratha,-20.7377,116.8463,20.47,66,97,2.2,AU,1690389137
165,whistler,50.1164,-122.9695,13.74,82,100,1.03,CA,1690388897
166,alice springs,-23.7,133.8833,11.75,71,75,0.0,AU,1690389137
167,qaqortoq,60.7167,-46.0333,6.89,83,99,1.73,GL,1690389137
168,kudahuvadhoo,2.6708,72.8944,28.24,78,99,4.45,MV,1690389138
169,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,20,1.0,RU,1690389138
170,luderitz,-26.6481,15.1594,14.13,67,0,6.58,NA,1690389138
171,idil,37.3411,41.8895,35.96,12,0,3.09,TR,1690389138
172,ust-nera,64.5667,143.2,10.6,92,81,4.0,RU,1690389138
173,rabo de peixe,37.8,-25.5833,23.73,69,20,3.6,PT,1690389139
174,punta arenas,-53.15,-70.9167,2.58,68,43,6.81,CL,1690389139
175,akrehamn,59.2667,5.1833,17.22,77,75,5.66,NO,1690389139
176,bubaque,11.2833,-15.8333,27.39,81,97,6.4,GW,1690389139
177,la paz,-16.5,-68.15,12.99,20,0,3.6,BO,1690389140
178,soligalich,59.0778,42.2864,18.64,97,100,4.27,RU,1690389140
179,san antonio de pale,-1.4014,5.6325,23.32,88,95,4.83,GQ,1690388925
180,bengkulu,-3.8004,102.2655,24.89,90,36,2.91,ID,1690388914
181,constantia,44.1833,28.65,28.38,64,29,3.12,RO,1690389141
182,oranjemund,-28.55,16.4333,13.37,76,1,2.27,NA,1690389141
183,trevelin,-43.0858,-71.4639,3.71,92,100,0.77,AR,1690389141
184,chardara,41.2547,67.9692,32.45,19,0,5.77,KZ,1690389142
185,conception bay south,47.4999,-52.9981,28.91,52,59,5.52,CA,1690389011
186,gargalianoi,37.0667,21.6333,32.97,72,6,3.8,GR,1690389142
